Day,Species,Drug,Condition,Count
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,0.6
14,Tumor,None,TUMOR,6.08
21,Tumor,None,TUMOR,80
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,2.28
14,Tumor,None,TUMOR,5.04
21,Tumor,None,TUMOR,78.97
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,2.4
14,Tumor,None,TUMOR,6.88
21,Tumor,None,TUMOR,83.41
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,2.48
14,Tumor,None,TUMOR,7.78
21,Tumor,None,TUMOR,83.72
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,2.66
14,Tumor,None,TUMOR,4.78
21,Tumor,None,TUMOR,79.99
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,2.64
21,Tumor,None,TUMOR,87.36
0,Tumor,None,TUMOR,0
7,Tumor,None,TUMOR,1.68
21,Tumor,None,TUMOR,80.87
0,Tumor,None,TUMOR,0
21,Tumor,None,TUMOR,73.86
0,Tumor,None,TUMOR,0
21,Tumor,None,TUMOR,79
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,91.57706093
21,Bone,None,TUMOR,0
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,106.2919463
21,Bone,None,TUMOR,0
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,36.15257048
21,Bone,None,TUMOR,49.5854063
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,41.89944134
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,113.6258661
21,Bone,None,TUMOR,53.34872979
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,65.83982991
7,Bone,None,TUMOR,100
14,Bone,None,TUMOR,65.77974871
21,Bone,None,TUMOR,52.40206948
0,Osteoblasts,None,TUMOR,10
7,Osteoblasts,None,TUMOR,2
14,Osteoblasts,None,TUMOR,6
21,Osteoblasts,None,TUMOR,5
0,Osteoblasts,None,TUMOR,10
7,Osteoblasts,None,TUMOR,5
14,Osteoblasts,None,TUMOR,7
21,Osteoblasts,None,TUMOR,6
0,Osteoblasts,None,TUMOR,4
7,Osteoblasts,None,TUMOR,2
14,Osteoblasts,None,TUMOR,5
21,Osteoblasts,None,TUMOR,6
7,Osteoblasts,None,TUMOR,3
14,Osteoblasts,None,TUMOR,6
21,Osteoblasts,None,TUMOR,5
0,Osteoblasts,None,TUMOR,4
7,Osteoblasts,None,TUMOR,3
14,Osteoblasts,None,TUMOR,6
21,Osteoblasts,None,TUMOR,3
0,Osteoblasts,None,TUMOR,5
14,Osteoblasts,None,TUMOR,2
0,Osteoblasts,None,TUMOR,5
0,Osteoblasts,None,TUMOR,8
0,Osteoblasts,None,TUMOR,4
0,Osteoclasts,None,TUMOR,8
7,Osteoclasts,None,TUMOR,4
14,Osteoclasts,None,TUMOR,3
21,Osteoclasts,None,TUMOR,16
0,Osteoclasts,None,TUMOR,6
7,Osteoclasts,None,TUMOR,3
14,Osteoclasts,None,TUMOR,7
21,Osteoclasts,None,TUMOR,16
0,Osteoclasts,None,TUMOR,3
7,Osteoclasts,None,TUMOR,6
14,Osteoclasts,None,TUMOR,5
21,Osteoclasts,None,TUMOR,7
0,Osteoclasts,None,TUMOR,3
7,Osteoclasts,None,TUMOR,3
14,Osteoclasts,None,TUMOR,6
21,Osteoclasts,None,TUMOR,7
7,Osteoclasts,None,TUMOR,22
14,Osteoclasts,None,TUMOR,12
21,Osteoclasts,None,TUMOR,8
7,Osteoclasts,None,TUMOR,20
14,Osteoclasts,None,TUMOR,4
7,Osteoclasts,None,TUMOR,5
7,Osteoclasts,None,TUMOR,8
10,Bone,13C4,TUMOR,57.60258864
10,Bone,13C4,TUMOR,80.01523222
10,Bone,13C4,TUMOR,93.3161936
10,Bone,13C4,TUMOR,82.42406774
10,Bone,13C4,TUMOR,124.3168595
10,Bone,13C4,TUMOR,107.1408149
10,Bone,13C4,TUMOR,124.8405194
10,Bone,13C4,TUMOR,126.830427
10,Bone,13C4,TUMOR,68.80891043
10,Bone,13C4,TUMOR,83.99504743
14,Bone,13C4,TUMOR,60.84928
14,Bone,13C4,TUMOR,100.1237723
14,Bone,13C4,TUMOR,176.7875811
14,Bone,13C4,TUMOR,81.37674795
14,Bone,13C4,TUMOR,39.16976027
14,Bone,13C4,TUMOR,60.11615614
14,Bone,13C4,TUMOR,55.82214499
14,Bone,13C4,TUMOR,57.2883927
14,Bone,13C4,TUMOR,52.99438155
14,Bone,13C4,TUMOR,44.72055518
14,Bone,13C4,TUMOR,95.8297611
14,Bone,13C4,TUMOR,111.2253621
32,Bone,13C4,TUMOR,76.66380888
32,Bone,13C4,TUMOR,136.779965
32,Bone,13C4,TUMOR,51.31866988
32,Bone,13C4,TUMOR,60.01142416
32,Bone,13C4,TUMOR,75.72122107
32,Bone,13C4,TUMOR,67.13319876
32,Bone,13C4,TUMOR,108.8165265
32,Bone,13C4,TUMOR,50.37608206
32,Bone,13C4,TUMOR,92.47833776
32,Bone,13C4,TUMOR,80.43416014
32,Bone,13C4,TUMOR,118.6613326
32,Bone,13C4,TUMOR,108.6070626
10,Bone,1D11,TUMOR,283.0905402
10,Bone,1D11,TUMOR,233.8665099
10,Bone,1D11,TUMOR,305.9221117
10,Bone,1D11,TUMOR,274.6072498
10,Bone,1D11,TUMOR,132.2764899
10,Bone,1D11,TUMOR,246.2248834
10,Bone,1D11,TUMOR,200.5617404
10,Bone,1D11,TUMOR,181.9194481
10,Bone,1D11,TUMOR,256.2791535
14,Bone,1D11,TUMOR,287.8034792
14,Bone,1D11,TUMOR,215.6431455
14,Bone,1D11,TUMOR,280.2627767
14,Bone,1D11,TUMOR,230.4103546
14,Bone,1D11,TUMOR,249.4715748
14,Bone,1D11,TUMOR,240.7788205
14,Bone,1D11,TUMOR,221.0892084
14,Bone,1D11,TUMOR,270.6274346
14,Bone,1D11,TUMOR,155.7364533
14,Bone,1D11,TUMOR,144.0064716
14,Bone,1D11,TUMOR,232.1907982
14,Bone,1D11,TUMOR,138.6651407
32,Bone,1D11,TUMOR,178.0443649
32,Bone,1D11,TUMOR,321.3177126
32,Bone,1D11,TUMOR,246.1201515
32,Bone,1D11,TUMOR,166.5238472
32,Bone,1D11,TUMOR,238.8936449
32,Bone,1D11,TUMOR,235.7516855
32,Bone,1D11,TUMOR,225.3832195
32,Bone,1D11,TUMOR,297.1246254
32,Bone,1D11,TUMOR,319.432537
10,Tumor,13C4,TUMOR,3.951138964
10,Tumor,13C4,TUMOR,0.892607939
14,Tumor,13C4,TUMOR,10.12111588
