Drug,Dose,Units,Hours,BioRep,TechRep,Target,Count
Force,2.5,kPa,INF,1,1,Gli2,1.168472839
Force,2.5,kPa,INF,1,2,Gli2,1.031943815
Force,2.5,kPa,INF,1,3,Gli2,1.169318705
Force,2.5,kPa,INF,2,1,Gli2,1.778800707
Force,2.5,kPa,INF,2,2,Gli2,1.447104604
Force,2.5,kPa,INF,2,3,Gli2,1.291538109
Force,2.5,kPa,INF,3,1,Gli2,1.356410182
Force,2.5,kPa,INF,3,2,Gli2,1.177885212
Force,2.5,kPa,INF,3,3,Gli2,1.383969906
Force,8,kPa,INF,1,1,Gli2,2.432598971
Force,8,kPa,INF,1,2,Gli2,1.969875656
Force,8,kPa,INF,1,3,Gli2,2.358624498
Force,8,kPa,INF,2,1,Gli2,2.257363856
Force,8,kPa,INF,2,2,Gli2,1.815367054
Force,8,kPa,INF,2,3,Gli2,1.618671566
Force,8,kPa,INF,3,1,Gli2,2.150701397
Force,8,kPa,INF,3,2,Gli2,3.262786614
Force,8,kPa,INF,3,3,Gli2,2.398614891
Force,380,kPa,INF,1,1,Gli2,8.347250819
Force,380,kPa,INF,1,2,Gli2,7.685775255
Force,380,kPa,INF,1,3,Gli2,8.009548748
Force,380,kPa,INF,2,1,Gli2,10.24893108
Force,380,kPa,INF,2,2,Gli2,12.20883117
Force,380,kPa,INF,2,3,Gli2,10.92255768
Force,380,kPa,INF,3,1,Gli2,6.533242073
Force,380,kPa,INF,3,2,Gli2,7.701988837
Force,380,kPa,INF,3,3,Gli2,7.046526001
Force,2.5,kPa,INF,1,1,PTHrP,1.186598151
Force,2.5,kPa,INF,1,2,PTHrP,1.273040473
Force,2.5,kPa,INF,1,3,PTHrP,1.532174625
Force,2.5,kPa,INF,2,1,PTHrP,1.222406561
Force,2.5,kPa,INF,2,2,PTHrP,1.421264064
Force,2.5,kPa,INF,2,3,PTHrP,1.336129927
Force,2.5,kPa,INF,3,1,PTHrP,1.225979159
Force,2.5,kPa,INF,3,2,PTHrP,1.240743278
Force,2.5,kPa,INF,3,3,PTHrP,1.490007509
Force,8,kPa,INF,1,1,PTHrP,1.36444501
Force,8,kPa,INF,1,2,PTHrP,2.115452641
Force,8,kPa,INF,1,3,PTHrP,2.065113517
Force,8,kPa,INF,2,1,PTHrP,1.485869362
Force,8,kPa,INF,2,2,PTHrP,1.292362874
Force,8,kPa,INF,2,3,PTHrP,1.414538594
Force,8,kPa,INF,3,1,PTHrP,2.054150924
Force,8,kPa,INF,3,2,PTHrP,2.052383759
Force,8,kPa,INF,3,3,PTHrP,2.097305929
Force,380,kPa,INF,1,1,PTHrP,5.27216712
Force,380,kPa,INF,1,2,PTHrP,9.96435407
Force,380,kPa,INF,1,3,PTHrP,18.74047071
Force,380,kPa,INF,2,1,PTHrP,4.48778793
Force,380,kPa,INF,2,2,PTHrP,5.39582995
Force,380,kPa,INF,2,3,PTHrP,4.68440143
Force,380,kPa,INF,3,1,PTHrP,4.6625164
Force,380,kPa,INF,3,2,PTHrP,6.2188334
Force,380,kPa,INF,3,3,PTHrP,4.37621568
Force,2.5,kPa,INF,1,1,ITGB3,1.279329392
